timestamp,station_id,user_id,tariff,energy_kwh,duration_min,avg_power_kw,input_name,input_plate,registered_name,registered_plate,reason,label
2025-11-10 18:30:00,ST-045,U-223,GUNDUZ,10.0,30,20.0,Ali Yılmaz,34ABC123,Ali Yılmaz,34ABC123,normal,0
2025-11-10 19:00:00,ST-045,U-223,GUNDUZ,15.0,40,22.5,Ali Yılmaz,34WRONG1,Ali Yılmaz,34ABC123,YANLIS_PLAKA,1
2025-11-10 19:30:00,ST-045,U-223,GUNDUZ,7.0,20,21.0,Ayşe Demir,34ABC123,Ali Yılmaz,34ABC123,YANLIS_ISIM,1
2025-11-10 19:31:00,ST-045,U-223,GUNDUZ,3.0,10,18.0,Ali Yılmaz,34ABC123,Ali Yılmaz,34ABC123,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-10 20:10:00,ST-001,U-224,GUNDUZ,8.0,25,19.2,Ayşe Demir,06XYZ789,Ayşe Demir,06XYZ789,normal,0
2025-11-10 20:40:00,ST-001,U-224,GUNDUZ,12.0,35,20.6,Ayse Demr,06XZ789,Ayşe Demir,06XYZ789,YANLIS_ISIM_VE_PLAKA,1
2025-11-10 21:15:00,ST-002,U-224,GUNDUZ,0.0,30,0.0,Ayşe Demir,06XYZ789,Ayşe Demir,06XYZ789,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-10 21:50:00,ST-002,U-224,GUNDUZ,25.0,60,25.0,Ayşe Demir,06XYZ789,Ayşe Demir,06XYZ789,normal,0
2025-11-10 22:10:00,ST-050,U-240,GECE,5.0,20,15.0,Mehmet Yılmaz,35ABC240,Mehmet Yılmaz,35ABC240,normal,0
2025-11-10 22:12:00,ST-050,U-240,GECE,6.0,5,72.0,Mehmet Yılmaz,35ABC240,Mehmet Yılmaz,35ABC240,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-10 22:45:00,ST-060,U-260,GECE,20.0,45,26.7,Ahmet Kaya,34KYA260,Ahmet Kaya,34KYA260,YANLIS_PLAKA,1
2025-11-10 23:05:00,ST-060,U-260,GECE,18.0,40,27.0,Ali Yılmaz,34KYA260,Ahmet Kaya,34KYA260,YANLIS_ISIM,1
2025-11-11 00:15:00,ST-070,U-270,GECE,50.0,90,33.3,Elif Çetin,34ELF270,Elif Çetin,34ELF270,normal,0
2025-11-11 00:16:30,ST-070,U-270,GECE,2.0,5,24.0,Elif Çetin,34ELF270,Elif Çetin,34ELF270,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 01:00:00,ST-080,U-280,GECE,100.0,15,400.0,Mehmet Kaya,34MKY280,Mehmet Kaya,34MKY280,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 08:05:00,ST-001,U-223,GUNDUZ,9.0,30,18.0,Ali Yılmaz,34ABC123,Ali Yılmaz,34ABC123,normal,0
2025-11-11 08:40:00,ST-001,U-223,GUNDUZ,11.0,40,16.5,Ali Yılmaz,06XYZ789,Ali Yılmaz,34ABC123,YANLIS_PLAKA,1
2025-11-11 09:10:00,ST-002,U-223,GUNDUZ,13.0,40,19.5,Aly Ylmaz,06XZ789,Ali Yılmaz,34ABC123,YANLIS_ISIM_VE_PLAKA,1
2025-11-11 09:45:00,ST-002,U-223,GUNDUZ,7.5,30,15.0,Ali Yılmaz,34ABC123,Ali Yılmaz,34ABC123,normal,0
2025-11-11 10:00:30,ST-002,U-223,GUNDUZ,1.0,1,60.0,Ali Yılmaz,34ABC123,Ali Yılmaz,34ABC123,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 11:20:00,ST-003,U-300,GUNDUZ,22.0,60,22.0,Can Aksoy,34CAN300,Can Aksoy,34CAN300,normal,0
2025-11-11 11:55:00,ST-003,U-300,GUNDUZ,0.5,180,0.2,Can Aksoy,34CAN300,Can Aksoy,34CAN300,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 12:10:00,ST-004,U-310,GUNDUZ,18.0,50,21.6,Zeynep Yılmaz,34ZYN310,Zeynep Yılmaz,34ZYN310,normal,0
2025-11-11 12:12:00,ST-004,U-310,GUNDUZ,3.0,3,60.0,Zeynep Yılmaz,34ZYN310,Zeynep Yılmaz,34ZYN310,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 12:45:00,ST-005,U-320,GUNDUZ,30.0,90,20.0,Mert Demir,06MRT320,Mert Demir,06MRT320,normal,0
2025-11-11 13:10:00,ST-005,U-320,GUNDUZ,5.0,15,20.0,Mert Demir,06MRT321,Mert Demir,06MRT320,YANLIS_PLAKA,1
2025-11-11 13:15:00,ST-005,U-320,GUNDUZ,5.0,4,75.0,Mert Demir,06MRT320,Mert Demir,06MRT320,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 14:05:00,ST-006,U-330,GUNDUZ,40.0,70,34.3,Selin Ak,35SLN330,Selin Ak,35SLN330,normal,0
2025-11-11 14:40:00,ST-006,U-330,GUNDUZ,42.0,10,252.0,Selin Ak,35SLN330,Selin Ak,35SLN330,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 15:00:00,ST-007,U-340,GECE,12.0,30,24.0,Ahmet Yılmaz,34AHM340,Ahmet Yılmaz,34AHM340,normal,0
2025-11-11 15:25:00,ST-007,U-340,GECE,13.0,25,31.2,Ahmt Ylmz,34AHM340,Ahmet Yılmaz,34AHM340,YANLIS_ISIM,1
2025-11-11 15:27:00,ST-007,U-340,GECE,1.0,2,30.0,Ahmet Yılmaz,34AHM340,Ahmet Yılmaz,34AHM340,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 16:10:00,ST-008,U-350,GECE,20.0,60,20.0,Deniz Kurt,34DNZ350,Deniz Kurt,34DNZ350,normal,0
2025-11-11 16:45:00,ST-008,U-350,GECE,25.0,20,75.0,Deniz Krt,34DNZ351,Deniz Kurt,34DNZ350,YANLIS_ISIM_VE_PLAKA,1
2025-11-11 17:20:00,ST-009,U-360,GECE,5.0,120,2.5,Hande Gül,06HND360,Hande Gül,06HND360,normal,0
2025-11-11 17:50:00,ST-009,U-360,GECE,0.0,45,0.0,Hande Gül,06HND360,Hande Gül,06HND360,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 18:05:00,ST-010,U-370,GECE,16.0,60,16.0,Onur Tek,35ONR370,Onur Tek,35ONR370,normal,0
2025-11-11 18:06:30,ST-010,U-370,GECE,2.0,3,40.0,Onur Tek,35ONR370,Onur Tek,35ONR370,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 18:40:00,ST-010,U-371,GECE,18.0,50,21.6,Onur Tek,35ONR999,Onur Tek,35ONR370,YANLIS_PLAKA,1
2025-11-11 19:10:00,ST-011,U-380,GECE,22.0,70,18.9,Melis Çakır,34MLS380,Melis Çakır,34MLS380,normal,0
2025-11-11 19:45:00,ST-011,U-380,GECE,24.0,15,96.0,Melis Cakir,34MLS380,Melis Çakır,34MLS380,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 20:20:00,ST-012,U-390,GECE,28.0,80,21.0,Berat Kılıç,06BRT390,Berat Kılıç,06BRT390,normal,0
2025-11-11 20:55:00,ST-012,U-390,GECE,30.0,30,60.0,Berat Kılıç,06BRT390,Berat Kilic,06BRT390,YANLIS_ISIM,1
